model,distr,n,p,df,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,test_loss,test_MAE_q0.995,test_MAE_q0.999,test_MAE_q0.9995,test_MSE_q0.995,test_MSE_q0.999,test_MSE_q0.9995,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,5.00E-04,0,1.793869317,1.882397354,1.917265207,1.897722441,5.14070478,7.510496073,8.206951822,67.26628242,145.4616612,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,64h_64h_64h,tanh,0,TRUE,0,0,1.790185124,1.882468879,1.916377276,2.366903967,5.057968748,6.869341915,11.64635043,51.07573497,93.187877,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,5.00E-04,0,1.796528488,1.882602334,1.915040374,2.072733702,5.299818748,7.584859133,8.177166305,56.49679689,120.0503013,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,1.00E-04,0,1.789575696,1.882785618,1.915466994,2.148958521,5.422158901,7.738568355,9.982784549,68.12947694,142.3249956,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,1.00E-05,0,1.794044256,1.8829813,1.914754927,2.013530491,5.204578084,7.500160274,7.563256466,58.06782233,126.5928582,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,5.00E-04,0,1.790050656,1.883247972,1.910826564,1.776580716,4.51718747,6.45874792,6.066820244,40.75406764,85.01059244,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,1.00E-06,0,1.795731872,1.883289158,1.91471073,2.005977376,5.145886005,7.394683075,7.453995902,55.85494125,121.3058978,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,1.00E-06,0,1.790225863,1.883336425,1.911655426,1.798511822,4.465737795,6.328405788,6.280457527,39.46331233,80.16854513,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,64h_64h_64h,tanh,0,TRUE,5.00E-06,0,1.786462814,1.883456528,1.928658158,2.844191344,7.111333347,10.16506355,19.85587361,127.6769811,265.2038623,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,128h_128h_128h,tanh,0,TRUE,1.00E-06,0,1.792291313,1.883548796,1.916160673,2.853171086,6.809595029,9.507955706,21.498399,134.9979141,274.5590825,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,128h_128h_128h,tanh,0,TRUE,5.00E-04,0,1.792748183,1.883559108,1.921815068,2.540359296,5.217805168,7.074970796,14.61194673,59.28508821,108.6186193,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,5.00E-06,0,1.7946091,1.883866668,1.915584385,2.034930619,5.266786289,7.58268996,7.765182356,59.83086412,130.1568295,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,5.00E-05,0,1.794123501,1.883918703,1.915081233,1.996646265,5.148131641,7.412474274,7.428124753,56.55575469,123.1539662,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,0,0,1.792641878,1.884087741,1.912107497,1.862537263,4.618292552,6.51844681,6.796842493,42.12832259,84.58929992,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,0,0,1.790895849,1.884183526,1.913523048,1.932240595,4.871312085,6.986566939,6.690622732,47.10201844,102.1237589,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,64h_64h_64h,tanh,0,TRUE,1.00E-05,0,1.79008761,1.884255707,1.916668981,2.648009124,5.76753319,7.800271161,15.56822739,71.88603561,129.9878717,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,5.00E-05,0,1.790259868,1.884269118,1.914239466,1.879020364,4.505982743,6.365566426,6.481115995,36.76714711,74.46215124,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,1.00E-05,0,1.789910257,1.884469151,1.915084213,1.974051707,4.909455279,6.993684772,7.038099454,45.61965668,95.96771211,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,1.00E-04,0,1.794469684,1.884484649,1.915155083,2.04096176,5.266619108,7.576577801,7.817782423,59.61319445,129.3588708,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,1.00E-05,0,1.790298522,1.884768546,1.912296414,1.817113122,4.518363448,6.409892338,6.408048762,40.57842971,82.7631978,0.001,1000,0.4,5,1.00E-05,20,TRUE
