Y_distr,X_distr,n,p,df,interm_lvl,rnn_type,num_layers,hidden_size,p_drop,L2_pen,seq_len,learning_rate,n_epochs,batch_size,lr_decay,patience_decay,min_lr,patience_stop,scale_features,tol,Train_loss,Valid_loss,min_valid_loss,min_valid_e,test_loss,MAE_test,MSE_test
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,32,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.472673798911273,0.455482482910156,0.454651325941086,28,0.497631088572814,0.246617822351074,0.16737953377852
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,32,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.472151460126042,0.455519039183855,0.454816911369562,31,0.501358944401836,0.301759601423177,0.231619491560502
foldnormal,foldnormal,5000,1,4,0.8,lstm,1,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.472458117641509,0.452750608325005,0.451456476002932,26,0.498364568163475,0.241463612534827,0.147500191100763
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.471237820573151,0.453437633812428,0.450867369771004,27,0.498113863158819,0.218942455740979,0.159845089056976
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.469488060101867,0.456181101500988,0.453175637871027,27,0.50317778206055,0.295962891588437,0.246928652004902
foldnormal,foldnormal,5000,1,4,0.8,lstm,1,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.471493856050074,0.453998517245054,0.452429350465536,31,0.501276514852408,0.274844092185964,0.180924492306066
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.470840758644044,0.452212821692228,0.451168611645699,42,0.498098620857751,0.228614388508149,0.141877702949452
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.47741272021085,0.458987589925528,0.455134641379118,24,0.505137144651823,0.332638110675413,0.263306760672637
foldnormal,foldnormal,5000,1,4,0.8,lstm,1,256,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.473510733805597,0.451534673571587,0.45097865536809,25,0.498942548942258,0.25756567899655,0.171466273339172
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,256,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.513794012367725,0.482924081385136,0.451321996748447,21,0.537882375396063,0.361476298294293,0.635080708663744
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,256,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.06854269839823,0.980956986546516,0.483376398682594,10,1.12064292562833,2.49138457246816,7.11581319089791
