Y_distr,n,df,interm_lvl,nb_fits,shape_fixed,rnn_type,num_layers,hidden_size,p_drop,intermediate_q_feature,L2_pen,shape_penalty,seq_len,learning_rate,scale_features,orthogonal_gpd,n_epochs,batch_size,lr_decay,patience_decay,min_lr,patience_stop,tol,Train_loss,Valid_loss,min_valid_loss,min_valid_e,test_MAE_q0.995,test_MAE_q0.999,test_MAE_q0.9995,test_MSE_q0.995,test_MSE_q0.999,test_MSE_q0.9995
foldnormal,5000,4,0.8,3,TRUE,lstm,1,256,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.163000959903,1.16988605260849,1.16353186964989,28,0.473498015556908,0.580646424176348,0.616157443264042,0.448825265539077,0.681163545707099,0.778346061812673
foldnormal,5000,4,0.8,3,TRUE,lstm,2,256,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.14523026719689,1.18542486429214,1.16365158557892,5,0.604192399524758,0.797853553933595,0.906401299364752,1.15477921149429,1.92040662121278,2.33703270711829
foldnormal,5000,4,0.8,3,TRUE,lstm,3,256,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15366848185658,1.18300920724869,1.17424097657204,154,0.739411858003836,0.94497590832474,1.01713480443703,1.12661763762465,1.80048470396734,2.09478827861063
foldnormal,5000,4,0.8,3,TRUE,lstm,1,32,0,TRUE,1e-05,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.16101324744523,1.16969242691994,1.16612672805786,82,0.446953193497522,0.529558242108962,0.561839028650901,0.433177337148286,0.636923502283757,0.737793429612661
foldnormal,5000,4,0.8,3,TRUE,lstm,2,32,0,TRUE,1e-05,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15932929702103,1.16888618469238,1.16092324256897,22,0.446189452732505,0.549124483010374,0.608864865924122,0.444686494726208,0.705184757660257,0.869814085716227
foldnormal,5000,4,0.8,3,TRUE,lstm,3,32,0,TRUE,1e-05,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15342296846211,1.24483001232147,1.23191824555397,119,1.85611107016551,3.84978147295669,5.00988234628083,8.39060399186361,29.5081989719608,46.5631383289378
foldnormal,5000,4,0.8,3,TRUE,lstm,1,64,0,TRUE,1e-05,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.14991010539234,1.19197857379913,1.18560460209846,87,0.674218344266114,0.935186622692839,1.04632248989869,0.987217732854345,1.84169674766704,2.28009596634062
foldnormal,5000,4,0.8,3,TRUE,lstm,2,64,0,TRUE,1e-05,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.13351771607995,1.20125532150269,1.18403312563896,109,0.885101431134433,1.16351477604964,1.26996727890973,4.6136829065675,8.28797173770573,9.97518240991914
foldnormal,5000,4,0.8,3,TRUE,lstm,3,64,0,TRUE,1e-05,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15244447812438,1.17988738417625,1.17430001497269,163,0.776975409775717,0.98087913449011,1.05541654130655,1.58123492794138,2.56091919536705,2.99501905314
foldnormal,5000,4,0.8,3,TRUE,lstm,1,128,0,TRUE,1e-05,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.17132511921227,1.19021677970886,1.18984416127205,144,0.831195980307835,1.54530446685816,1.91742672399494,1.28559361110655,3.77925592360362,5.53826791713316
